Fecha_pd,Entidad,Data
2016-04-30,San Luis Potosí,30.0
2016-04-30,Sinaloa,120.0
2016-04-30,Sonora,69.0
2016-04-30,Tabasco,53.0
2016-04-30,Tamaulipas,124.0
2016-04-30,Tlaxcala,32.0
2016-04-30,Veracruz de Ignacio de la Llave,85.0
2016-04-30,Yucatán,7.0
2016-04-30,Zacatecas,35.0
2016-05-31,Aguascalientes,26.0
2016-05-31,Baja California,122.0
2016-05-31,Baja California Sur,14.0
2016-05-31,Campeche,15.0
2016-05-31,Chiapas,126.0
2016-05-31,Chihuahua,125.0
2016-05-31,Ciudad de México,118.0
2016-05-31,Coahuila de Zaragoza,54.0
2016-05-31,Colima,47.0
2016-05-31,Durango,46.0
2016-05-31,Guanajuato,232.0
2016-05-31,Guerrero,233.0
2016-05-31,Hidalgo,58.0
2016-05-31,Jalisco,194.0
2016-05-31,Michoacán de Ocampo,200.0
2016-05-31,Morelos,80.0
2016-05-31,México,256.0
2016-05-31,Nacional,3053.0
2016-05-31,Nayarit,7.0
2016-05-31,Nuevo León,98.0
2016-05-31,Oaxaca,136.0
2016-05-31,Puebla,129.0
2016-05-31,Querétaro,47.0
2016-05-31,Quintana Roo,20.0
2016-05-31,San Luis Potosí,48.0
2016-05-31,Sinaloa,129.0
2016-05-31,Sonora,88.0
2016-05-31,Tabasco,58.0
2016-05-31,Tamaulipas,141.0
2016-05-31,Tlaxcala,25.0
2016-05-31,Veracruz de Ignacio de la Llave,116.0
2016-05-31,Yucatán,11.0
2016-05-31,Zacatecas,54.0
2016-06-30,Aguascalientes,17.0
2016-06-30,Baja California,112.0
2016-06-30,Baja California Sur,20.0
2016-06-30,Campeche,6.0
2016-06-30,Chiapas,115.0
2016-06-30,Chihuahua,125.0
2016-06-30,Ciudad de México,108.0
2016-06-30,Coahuila de Zaragoza,41.0
2016-06-30,Colima,40.0
2016-06-30,Durango,48.0
2016-06-30,Guanajuato,220.0
2016-06-30,Guerrero,260.0
2016-06-30,Hidalgo,33.0
2016-06-30,Jalisco,160.0
2016-06-30,Michoacán de Ocampo,190.0
2016-06-30,Morelos,79.0
2016-06-30,México,237.0
2016-06-30,Nacional,2824.0
2016-06-30,Nayarit,4.0
2016-06-30,Nuevo León,81.0
2016-06-30,Oaxaca,132.0
2016-06-30,Puebla,103.0
2016-06-30,Querétaro,30.0
2016-06-30,Quintana Roo,20.0
2016-06-30,San Luis Potosí,57.0
2016-06-30,Sinaloa,132.0
2016-06-30,Sonora,82.0
2016-06-30,Tabasco,38.0
2016-06-30,Tamaulipas,129.0
2016-06-30,Tlaxcala,24.0
2016-06-30,Veracruz de Ignacio de la Llave,124.0
2016-06-30,Yucatán,5.0
2016-06-30,Zacatecas,52.0
2016-07-31,Aguascalientes,23.0
2016-07-31,Baja California,128.0
2016-07-31,Baja California Sur,15.0
2016-07-31,Campeche,14.0
2016-07-31,Chiapas,122.0
2016-07-31,Chihuahua,135.0
2016-07-31,Ciudad de México,118.0
2016-07-31,Coahuila de Zaragoza,45.0
2016-07-31,Colima,54.0
2016-07-31,Durango,45.0
2016-07-31,Guanajuato,230.0
2016-07-31,Guerrero,286.0
2016-07-31,Hidalgo,58.0
2016-07-31,Jalisco,178.0
2016-07-31,Michoacán de Ocampo,219.0
2016-07-31,Morelos,66.0
2016-07-31,México,178.0
2016-07-31,Nacional,3062.0
2016-07-31,Nayarit,8.0
2016-07-31,Nuevo León,123.0
2016-07-31,Oaxaca,152.0
2016-07-31,Puebla,106.0
2016-07-31,Querétaro,40.0
2016-07-31,Quintana Roo,21.0
2016-07-31,San Luis Potosí,41.0
2016-07-31,Sinaloa,106.0
2016-07-31,Sonora,93.0
2016-07-31,Tabasco,35.0
2016-07-31,Tamaulipas,147.0
2016-07-31,Tlaxcala,26.0
2016-07-31,Veracruz de Ignacio de la Llave,195.0
2016-07-31,Yucatán,6.0
2016-07-31,Zacatecas,49.0
2016-08-31,Aguascalientes,13.0
2016-08-31,Baja California,116.0
2016-08-31,Baja California Sur,36.0
2016-08-31,Campeche,17.0
2016-08-31,Chiapas,140.0
2016-08-31,Chihuahua,152.0
2016-08-31,Ciudad de México,134.0
2016-08-31,Coahuila de Zaragoza,32.0
2016-08-31,Colima,48.0
2016-08-31,Durango,44.0
2016-08-31,Guanajuato,214.0
